CODCAR;CODVIA;NOMCAR
2970;PL;GRANADOS
2980;PS;GRAN PASSEIG RONDA
2990;PD;TERME DE GREALO
3000;PD;GREALO
3010;PD;GRANYENA
3020;PD;GUALDA
3030;CA;GUILLEM BOTET
3050;PD;GUINDAVOLS
3160;CA;GERMANETES
3170;CA;GARRAF
3180;CA;EL PRIORAT
3190;GR;GERMANS CARRERA CEJUDO
3200;CA;VALLS D'ANDORRA
3210;GR;VORAVIA
3220;CA;CONCA DE BARBERA
3230;CA;PROGRES
3240;CA;GERMANS IZQUIERDO
3250;CA;LA GARROTXA
3255;CA;LA LLUM
3260;CA;EL BAGES
3270;CA;GERMANS PIGNATELLI
3280;CA;GERMANS QUERALT
3290;CA;GERMANS RECASENS
3300;CA;VALENTI ALMIRALL
3310;PL;HISPANOAMERICA
3320;CA;HOSPITALERS DE SANT JOAN
3330;CA;HOSTAL DE LA BORDETA
3340;CA;OSCA
3350;PG;HUELVA
3450;CA;IGNASI BASTUS
3460;CA;IGUALADA
3470;CA;IMPRESSOR BOTEL
3475;PG;ILLES BALEARS
3480;CA;INDEPENDENCIA
3490;CA;INDIVIL I MANDONI
3500;CA;ENGINYER CELLERS
3510;CA;ISABEL II
3520;CA;ISERN
3530;CA;ISONA
3550;CA;IRENE SOLSONA
3640;CA;JAEN
3650;CA;JAUME D'AGRAMUNT
3660;CA;JAUME I CONQUERIDOR
3670;CA;JAUME II
3680;CA;CASTELLDANS
3690;CA;JARDI
3700;CA;JERONI PUJADES
3710;PD;JESUSET
3715;CA;JOAN MIRO
3719;PG;JOC DE LA BOLA
3720;CA;JOC DE LA BOLA
3735;CA;JOSEP CARNER
3738;CA;JOSEP PLA
3740;AV;FRANCESC MACIA
3750;GR;AVINGUDA DE MADRID
3755;CA;JOSE OLONDRIZ OSTIZ
3760;CA;JOSEP FONTSERE
3770;CA;JOAN GAVARRA
3775;CA;JOAN BAPTISTA XURIGUERA
3780;PL;JOAN XXIII
3800;CA;JUERIA
3810;CA;JOGLAR SEGALA
3820;CA;JULI CESAR
3830;CA;JUNEDA
3850;CA;JUPITER
4020;PL;LA RIOJA
4030;CA;LA MANCHA
4040;CA;L'ALGUER
4060;CA;LA CORT
4070;PD;LA CORT
4075;CA;LA CORUÑA
4080;CA;LA CREU
4090;CA;LA MESQUITA
4100;CA;LA PALMA
4110;CA;LA PARRA
4120;PL;LA PAU
4130;GR;LA PAU
4140;PL;LA SAL
4150;CA;LA SUDA
4152;CA;LAMARCA
4154;GR;LANDELINO LAVILLA
4157;CA;LAS ALPUJARRAS
4158;PL;L'ESCORXADOR
4160;PQ;LES BASSES
4180;CA;LES PASSADORES
4190;CA;LES PIQUES
4200;CA;LES ROSES
4210;CA;TORRES DE SANUI
4270;CA;LLORERS
4275;CA;LEANDRE CRISTOFOL
4280;CA;BICIBERRI
4282;PD;LES CANALS
4285;CA;LES AVELLANES
4290;CA;LLITERA
4295;CA;DE LA COMA DE SANTA FE -LLIVIA
4300;CA;ELS ERALS
4320;CA;ELS RAMS
4400;AV;PLA D'URGELL
4420;PD;LLIVIA
4421;CA;ALBAREDA - LLIVIA
4422;CA;ANTONI VILAPLANA - LLIVIA
4423;CA;CLADELLERS - LLIVIA
4424;CA;PARDALS - LLIVIA
4425;CA;DIPOSITS - LLIVIA
4426;CA;GREALO - LLIVIA
4427;CA;HORTA - LLIVIA
4428;CA;TOSSAL STA.FE - LLIVIA
4429;CA;LA GRALLERA - LLIVIA
4430;CA;LAS GRANJAS - LLIVIA
4431;CA;LA PAZ - LLIVIA
4432;CA;GRAN - LLIVIA
4433;CA;MARQUES DE L'ENSENADA - LLIVIA
4434;PL;NOVA - LLIVIA
4435;CA;PARTIDORS - LLIVIA
4436;CA;CAMI DEL NORD - LLIVIA
4440;CA;LLOPIS
4450;CA;LUDOVICUS PIUS
4455;CA;M.CARRASCO FORMIGUERA
4460;CA;LLUIS BESA
4470;CA;LLUIS ROCA
4580;CA;MARE DOLCET
4590;AV;MADRID
4600;CA;MESTRE JOAN D'AVILA
4605;PL;MESTRE SERRA
4610;CA;MAGDALENA
4620;CA;MAGI MORERA
4630;PD;MALGOVERN
4635;CA;MANUEL DE PEDROLO
4640;CA;MANUEL FLORENSA
4641;PG;MANUEL SEBASTIAN
4660;CA;MANUEL DE MONTSUART
4670;CA;MANUEL DEL PALACIO
4680;CA;MARAGALL
4690;CA;MESTRE EMILI PUJOL
4700;CA;MARANYOSA
4710;CA;MARIA SAURET
4720;PD;MARIMUNT
4730;CA;MARIOLA
4740;FA;MARIOLA-FALDA GARDENY
4741;PD;MARIOLA
4742;CA;MIG CAMI
4743;CA;CAMI TORRE BLANCA
4750;CA;MARIUS TORRES
4760;CA;MARQUES DE LEGANES
4770;CA;VILA ANTONIA
4780;CA;MART
4790;CA;MARTI GRALLA
4800;AV;PRESIDENT TARRADELLAS
4810;CA;MARTOS
4820;CA;MUSIC VIVALDI
4830;CA;MAIALS
4840;CA;MAJOR
4845;PG;MALAGA
4850;CA;METGE ABIATAR
4860;CA;METGE MERCE
4870;CA;MEQUINENSA
4875;RA;LA MERCE
4880;CA;MENARGUENS
4890;PG;MIQUEL ARAGONES
4900;CA;MIQUEL DE CORTIADA
4910;PG;MIQUEL FARGAS
4915;CA;MIQUEL HERNANDEZ
4920;CA;MIQUEL SERRA
4930;PL;MISSIONS
4940;CA;CONCORDIA
4950;CA;MOLLERUSSA
4960;PD;MONTCADA
4961;CA;MONTSERRAT ROIG
4965;CA;MONESTIR DE VALLBONA
4966;CA;MONESTIR DE LES AVELLANES
4967;CA;MONESTIR DE GERRI
4968;CA;MONESTIR D'AVINGANYA
4969;CA;MONESTIR DE GUALTER
4970;CA;MONGES
4975;GR;MONTALBAN - MAGRANERS
4980;CA;MONZON
4990;CA;MONTPELLIER
5000;PD;MOREDILLA TERMINO
5010;CA;MORISCOT
5020;CA;MOSSEN AMIC
5030;PL;MOSSEN J.VERDAGUER
5040;CA;MOSSEN PELEGRI
5050;CA;MOSSEN REIG
5060;CA;MOSSEN SALVADOR
5065;CA;MOSTAIN - LLIVIA
5070;CA;MOSSEN SOLE
5080;CA;MURCIA
5210;AV;NAVARRA
5220;CA;NEPTU
5230;PL;NOGUEROLA
5240;CA;NOLIUS
5250;CA;NOSTRA SRA DELS ANGELS
5260;CA;NOSTRA SRA DEL CARME
5270;CA;NOSTRA SRA DEL MIG ARAN
5280;CA;NOU
5390;CA;BISBE
5400;CA;BISBE GALINDO
5410;CA;NORD
5420;CA;BISBE IRURITA
5430;CA;BISBE MESSEGUER
5440;CA;BISBE RUANO
5450;CA;BISBE TORRES
5460;CA;OBRADORS
5470;CA;ODON FONOLL
5480;CA;OLIVER
5490;GR;ONESIMO REDONDO
5500;CA;ONOFRE CERVERO
5505;PS;ONZE DE SETEMBRE
5510;PL;ORVEPARD
5630;CA;PAU CLARIS
5635;CA;PINTOR BENSENY
5640;CA;PICA D'ESTATS
5650;PL;PARE NADAL
5655;CA;PARE PALAU
5660;CA;PAER CASANOVAS
5665;CA;PINTOR ALBERT VIVES
5670;CA;PAER RUFES
5680;PL;PAERIA
5690;CA;PALAU
5700;CA;PALAUET
5710;CA;LA PALOMA
5720;CA;PALLARS
5730;CA;PANERA
5740;PL;PANERA
5745;PQ;JOC DE LA BOLA
5746;PQ;MARIUS TORRES
5750;PD;PARDINYES ALTES
5760;CA;PARDINYES BAIXES
5770;PG;PARDINYES BAIXES
5771;PD;PARDINYES BAIXES
5775;CA;PARE GABERNET
5780;CA;PARC
5790;PL;PATI DE MIQUELO
5795;PL;PAU CASALS
5800;AV;PEARSON
5810;CA;PERE CAVASEQUIA
5820;CA;PERE DE COMA
5830;CA;PERE DE SANT CLIMENT
5840;PD;PEIXA SOM.MES
5850;CA;PERALTA
5860;CA;PICABAIX
5870;CA;PINTOR FERRER
5875;CA;PINTOR GARCIA LAMOLLA
5880;CA;PINTOR MORERA I GALICIA
5890;AV;PIUS XII
5900;CA;PIRINEUS
5905;PD;PLA DE CERDERA
5910;PD;PLA DE LLEIDA
5915;AV;PINYANA
5920;PD;PLA DE MONSO
5930;PD;PLA DE SAN RUF
5935;PD;PLA DE VILANOVETA
5950;PD;PLA DEL SASTRE
5960;PD;PLANA DE GENSANA
5970;PD;PLANA DEL BISBE
5971;PD;LA PLANA
5980;CA;PLATERIA
5990;CA;PLEYAN DE PORTA
5995;CA;POBLA DE SEGUR
6000;CA;POCURULL
6005;CA;PONT DE SUERT
6010;PO;POL.INDUST. EL SEGRE
6020;PG;POMPEU
6025;JA;POMPEU FABRA
6030;CA;PONTS
6035;JA;1R. DE MAIG
6040;CA;PREMIA DE MAR
6050;PG;PREMSA
6060;CA;EL PENEDES
6080;GR;PRINCEP JOAN CARLES
6090;CA;PRINCEP DE VIANA
6100;PG;PRINCEP DE VIANA
6110;CA;PRUDENCIO MURILLO
6120;CA;PUIGVERD
6250;CA;EL RIPOLLES
6260;GR;MARIOLA
6265;CA;RAMON RAMOS ALVAREZ
6266;PL;RAMON RAMOS ALVAREZ
6270;CA;RAMON ARGILES
6280;PL;RAMON BERENGUER IV
6290;CA;RAMON CASTEJON
6300;CA;RAMON SOLDEVILA
6310;CA;RAMON Y CAJAL
6320;CA;RASTRO
6325;CA;RAIMAT
6335;CA;EMPORDA - RAIMAT
6345;CA;ARAGO - RAIMAT
6350;CA;L'ESTACIO - RAIMAT
6355;CA;CANAL - RAIMAT
6365;CA;CASTELL - RAIMAT
6370;CA;FORMIGO - RAIMAT
6375;CA;DEL NORD - RAIMAT
6380;CA;MAJOR - RAIMAT
6385;GR;POLVORIN - RAIMAT
6390;CA;LES MONGES - RAIMAT
6395;CA;TANCAT - RAIMAT
6400;CA;VERGE DE MONTSERRAT - RAIMAT
6405;CA;VALENCIA - RAIMAT
6410;CA;PENEDES - RAIMAT
6415;CA;VALLES - RAIMAT
6420;CA;PINS - RAIMAT
6425;DI;DISSEMINAT - RAIMAT
6430;CA;PRIORAT - RAIMAT
6450;CA;RONDA - RAIMAT
6460;CA;URGELL - RAIMAT
6480;CA;REIAL
6485;PL;RECTOR DE VALLFOGONA
6500;CA;REJOLAR
6520;CA;EL BERGUEDA
6540;CA;REPUBLICA DEL PARAGUAI
6545;CA;REUS
6550;CA;REI
6555;CA;REPUBLICA ARGENTINA
6560;PL;RICARD VIÑES
6570;CA;RIU
6580;CA;RIU ESSERA
6590;PL;RIU FLAMISELL
6600;CA;RIQUER
6604;CA;RIU SIO
6606;CA;RIU CINCA
6610;CA;ROCA LABRADOR
6620;CA;ROGER DE LLURIA
6625;CA;ROMANI
6630;CA;RONDA SANT MARTI
6635;CA;RONDA LA SEU VELLA
6640;CA;ROSARI
6645;CA;ROCA I LLETJOS
6650;CA;EL MONTSIA
6660;PD;RUFEA
6670;CA;MANUEL DE FALLA
6680;GR;RUIZ DE ALDA
6690;CA;ROSSINYOL
6710;CA;SALOU
6720;CA;SAMUEL GILI I GAYA
6730;PG;SANTANDER
6800;PL;SAGRADA FAMILIA
6810;CA;SANT AGUSTI
6820;CA;DEMOCRACIA
6825;CA;S.SEGUI 'EL NOI DEL SUCRE'
6830;CA;SANT ANDREU
6840;CA;SANT ANTONI
6850;PL;SANT ANTONI MARIA CLARET
6860;CA;SANT CARLES
6865;CA;SANT CRIST
6870;CA;SANT CRISTOFOL
6880;PL;SANT FRANCESC
6890;CA;SANT FRANCESC XAVIER
6891;TR;SANT FRANCESC XAVIER
6900;CA;SANT FRANCESC DE SALES
6910;CA;SANGENIS BERTRAN
6930;CA;SANT HILARI
6940;CA;SANT IGNASI DE LOIOLA
6950;CA;CORDOBA
6960;CA;SANT ISIDRE
6965;CA;SANT ISIDRE LLAURADOR
6970;CA;SANT JAUME
6980;PG;SANT JERONI
6990;PG;SANT JORDI
7000;PL;SANT JORDI
7020;PL;SANT JOSEP
7030;CA;SANT JOSEP OBRER
7040;CA;SANT JOAN
7050;CA;SANT JOAN BAPTISTA
7060;CA;SANT JOAN DE MATA
7070;PD;SANT JUST
7080;PL;SANT LLORENÇ
7090;CA;SANT LLUIS GONZAGA
7100;CA;SANT LLEIR
7110;CA;SANT MARTI
7120;CA;SANT PAU
7130;CA;SANT PASCUAL BAILON
7140;CA;SANT PAULI DE NOLA
7150;AV;SANT PERE
7160;PL;SANT PERE
7170;CA;SANT PERE CLAVER
7180;CA;SANT PERE NOLASC
7190;CA;SANT RAMON
7200;CA;SANT ROC
7205;PG;SANT ROC
7210;AV;SANT RUF
7220;CA;SANT SALVADOR
7230;CA;SANT VICENC DE PAUL
7233;CA;ASPA
7240;CA;SANS I RIBES
7245;PG;SANTA ANNA
7250;CA;SANTA CECILIA
7260;CA;SANTA COLOMA
7265;PL;SANTA CLARA
7270;CA;SANTA FE
7280;PG;SANTA ISABEL
7290;CA;SANTA LLUCIA
7300;CA;HUMBERT TORRES
7320;GR;SANTA MARIA DE GARDENY
7330;PL;SANTA MARIA MAGDALENA
7340;CA;SANTA TERESA DE JESUS
